gen,eval,α₀,γ₁,γ₂,γ₃,γ_wt,γ₇pf,γ₈,γ₉,α₂,loss,wall_s
21,208,21526.23459,0.01067,0.83528,0.72764,0.09687,41.37174,402.75770,78.23017,15.24224,83.121053,2791
21,209,19555.76333,0.01195,0.44345,0.94775,0.17383,44.36187,405.26428,49.42284,15.18365,73.001368,2791
21,210,15822.50899,0.01326,0.47538,1.29886,0.17340,40.55205,492.72540,148.20661,18.01652,72.643762,2791
22,211,12911.35145,0.01432,0.55904,1.45721,0.11417,43.79429,386.07405,148.91841,16.92393,67.633252,2959
22,212,18345.80924,0.01449,0.78979,1.65168,0.18402,49.80563,378.97230,247.32355,18.22205,81.286507,2959
22,213,16755.27186,0.02249,0.75386,1.21396,0.08983,34.25022,498.85874,98.45912,14.51742,72.049469,2959
22,214,12020.75111,0.01069,0.61227,1.14641,0.16069,34.75238,380.23445,250.17392,17.23419,68.024956,2959
22,215,14725.16406,0.01002,1.17155,1.44414,0.13743,35.62786,498.50167,68.49944,16.96508,76.423560,2959
22,216,21073.37331,0.01070,0.72350,1.35964,0.12841,38.87235,375.18283,69.64141,16.27657,75.271883,2959
22,217,19299.76586,0.01733,0.45341,1.14196,0.09762,38.13491,426.20344,101.53871,16.03773,69.074215,2959
22,218,21469.42811,0.01296,0.53087,1.64899,0.15463,22.32782,457.34889,259.99286,17.10032,79.847012,2959
22,219,16899.04033,0.01127,0.69478,1.28099,0.12221,36.70065,471.23061,152.40036,14.06533,72.764463,2959
22,220,18621.24014,0.01079,0.96127,1.52156,0.14973,35.00894,435.77162,83.07515,17.16317,71.471140,2959
23,221,13900.52330,0.01474,0.72625,1.52233,0.07679,42.52199,468.77366,142.44427,18.36958,74.416835,3119
23,222,13349.77567,0.02590,0.37427,1.53868,0.14073,43.25992,450.33258,292.49018,19.80190,72.992691,3119
23,223,15591.24506,0.03948,0.61716,1.31098,0.07765,49.93191,462.21282,128.05116,18.44516,89.477018,3119
23,224,12155.06225,0.01033,0.48141,1.32798,0.19195,49.96264,296.23282,314.59349,19.01117,72.108411,3119
23,225,13254.47218,0.02499,0.91502,1.45562,0.13647,38.30448,338.96463,251.43209,16.92676,68.087953,3119
23,226,9006.02991,0.01673,1.04522,1.28534,0.17938,43.70376,398.79358,197.52484,13.60783,73.295131,3119
23,227,21551.68627,0.01027,0.71017,1.07924,0.12562,25.49046,475.73704,79.82278,18.40783,70.163659,3119
23,228,13371.87823,0.01042,0.58685,1.05109,0.11347,37.86345,357.83652,43.66143,19.79684,73.208523,3119
23,229,15241.43640,0.01003,0.41040,1.34225,0.10854,37.10257,335.23723,181.96930,19.98927,74.016099,3119
23,230,17456.97895,0.01009,0.55181,1.24415,0.14971,37.17497,350.93394,239.50769,8.64267,69.687141,3119
24,231,19605.68588,0.06457,0.69896,1.52451,0.13441,33.76929,366.98836,178.59327,15.55943,78.679686,3276
24,232,20090.63966,0.01182,0.59604,1.54455,0.12918,34.43966,421.16808,205.57619,14.10627,71.410666,3276
24,233,15604.86265,0.01421,0.67859,1.59553,0.12055,27.59937,491.22998,316.95034,16.24542,76.390862,3276
24,234,23417.65545,0.03844,0.83604,1.23343,0.17561,37.92844,253.26192,284.16687,15.97734,94.871862,3276
24,235,13898.92257,0.01272,0.91032,1.29067,0.11395,34.79856,437.20469,210.50736,14.34274,67.063322,3276
24,236,17540.14350,0.01317,0.71270,1.43132,0.12798,35.87493,246.55473,311.46251,11.63138,81.000885,3276
24,237,21380.89174,0.01265,0.85155,1.20844,0.12920,49.99339,438.95341,297.00128,13.78514,97.585705,3276
24,238,11706.16637,0.02228,0.50489,1.37913,0.14567,49.72184,319.92925,204.15693,17.04156,75.793482,3276
24,239,17108.12755,0.01402,0.53381,1.12803,0.17076,35.47512,446.74649,353.44622,13.48198,67.248802,3276
24,240,8793.30352,0.03062,0.70614,1.02411,0.16381,41.06114,191.34641,256.99782,19.50305,99.185577,3276
25,241,10050.35237,0.01093,1.14946,1.13727,0.14746,39.76589,466.94675,439.51379,13.70273,69.411901,3419
25,242,18426.89831,0.01904,0.60504,1.43163,0.13566,34.54970,427.12014,41.88213,10.81917,68.609771,3419
25,243,15787.39501,0.03031,1.03670,1.12288,0.15369,27.51407,499.87614,278.36679,13.31494,72.397218,3419
25,244,21189.84458,0.01493,0.81772,1.36533,0.12845,35.37862,422.49447,296.19683,10.47798,72.369540,3419
25,245,13459.37150,0.01232,0.67083,1.67437,0.12480,32.75577,449.30007,158.12475,15.35346,73.764808,3419
25,246,15954.41157,0.01300,0.73855,1.55551,0.07122,47.24611,452.21021,247.02129,16.89257,75.923803,3419
25,247,15237.04313,0.02108,0.69113,1.10107,0.12860,47.20956,387.38311,211.64045,14.58706,75.267651,3419
25,248,10831.23108,0.03509,0.55905,1.12652,0.10803,40.20888,476.35924,163.86508,12.22978,72.169437,3419
25,249,17605.23209,0.01224,0.70380,0.94871,0.14760,37.99339,427.89617,151.04712,15.55538,72.263716,3419
25,250,9102.69217,0.01900,0.90556,1.21102,0.12706,41.81759,475.43029,290.89796,17.20439,71.334884,3419
26,251,17118.05829,0.02739,1.03012,1.00071,0.15148,24.61809,468.33605,165.67706,9.90533,68.693661,3553
26,252,13680.41267,0.01027,0.79203,1.13166,0.13808,28.76104,364.18073,175.99558,14.03924,66.950940,3553
26,253,6850.10887,0.01180,0.88143,1.06314,0.11328,44.33562,499.94299,195.04277,13.09194,75.733554,3553
26,254,13962.48392,0.01384,0.71275,1.24885,0.13006,43.89313,489.08203,198.26158,17.27553,75.368740,3553
26,255,15740.72201,0.03299,0.59367,1.43652,0.12178,48.75732,462.16312,226.27291,14.61528,83.864754,3553
26,256,10131.72748,0.01092,0.75979,1.23460,0.17053,43.76285,499.10657,397.70195,8.25089,73.976302,3553
26,257,8514.45032,0.04309,0.90553,1.19147,0.14080,45.21719,484.96004,289.31650,10.76150,85.847219,3553
26,258,14171.62329,0.03344,0.63369,1.45538,0.15662,41.96765,380.84847,143.82983,14.53822,72.783644,3553
26,259,17701.04586,0.02209,0.96285,1.27259,0.13600,29.73540,496.74073,248.15544,12.15967,74.101476,3553
26,260,15895.48964,0.01169,0.82209,1.32222,0.13064,31.32425,441.83917,156.72241,10.89976,69.206458,3553
