gen,job,a0,g1,g2,g3,g7pf,g8,g9,g7dc,a2,loss,wall_s
9,82,23757.3,0.03468,0.16978,1.09129,62.902,312.480,530.769,217.697,6.6454,95.298252,1251
9,83,29821.1,0.03386,0.06508,1.04326,5.574,233.194,781.920,114.460,14.8722,86.119847,1251
9,84,15253.5,0.03534,0.09839,1.28826,37.584,465.938,615.521,28.927,12.5614,73.873769,1251
9,85,18197.0,0.03962,0.63208,0.22682,10.437,296.722,793.390,238.753,6.8942,68.059074,1251
9,86,33591.5,0.06682,0.33132,1.17142,17.503,385.244,643.101,469.135,7.9860,128.782778,1251
9,87,13116.6,0.03985,0.05005,0.68557,0.093,475.820,481.862,330.563,11.6150,66.636733,1251
9,88,28568.1,0.03712,0.26529,1.45206,133.278,331.472,746.666,476.961,7.1843,296.520290,1251
9,89,26546.1,0.03047,0.11399,0.60876,29.041,343.713,699.916,199.113,5.2572,71.150466,1251
9,90,22733.4,0.04639,0.05176,0.89037,77.049,461.684,719.548,105.787,9.3371,102.605341,1251
10,91,18948.0,0.07037,0.05344,0.43977,50.190,357.938,583.753,83.212,12.7460,83.178850,1393
10,92,8471.1,0.04981,0.43157,0.75045,89.811,409.095,453.728,339.178,10.2835,156.640139,1393
10,93,10134.6,0.03501,0.24034,0.91159,21.320,474.759,585.401,257.552,8.4576,65.328795,1393
10,94,23080.9,0.05320,0.24748,0.38601,12.270,295.866,794.418,481.802,4.7562,79.312463,1393
10,95,19402.4,0.03026,0.21282,0.30187,3.690,436.495,463.092,12.132,7.1156,104.266921,1393
10,96,22341.7,0.03176,0.52712,0.29604,53.244,338.915,799.999,494.910,8.6849,126.443964,1393
10,97,9227.4,0.03378,0.21336,0.53852,54.060,254.681,524.402,468.794,7.0084,80.907420,1393
10,98,26389.1,0.04105,0.39351,0.23834,23.294,349.348,446.500,290.536,9.8020,74.068633,1393
10,99,14760.1,0.05417,0.06765,0.91581,0.315,496.481,401.914,268.494,11.3884,68.543642,1393
10,100,16366.9,0.03057,0.44390,0.70965,14.089,482.692,800.000,399.915,13.1286,85.237681,1393
11,101,15978.1,0.03034,0.34671,0.42519,9.268,277.661,695.547,122.124,5.6516,89.156000,1560
11,102,10966.0,0.03770,0.25108,0.82314,25.962,488.561,365.835,12.346,14.6148,93.441739,1560
11,103,16925.0,0.04427,0.05368,0.42485,12.137,472.975,155.820,317.286,8.8411,61.126793,1560
11,104,20839.5,0.05706,0.11540,0.85098,39.967,459.490,468.648,329.223,12.0071,92.041060,1560
11,105,12891.9,0.03036,0.08393,0.64852,3.651,475.162,441.489,771.770,9.3056,116.454280,1560
11,106,11535.6,0.04651,0.18494,0.70726,48.028,418.813,715.973,234.811,12.1065,69.415532,1560
11,107,9194.5,0.05467,0.61334,0.70644,56.881,447.748,521.275,638.568,9.5019,164.179208,1560
11,108,8873.1,0.03052,0.11521,0.47784,41.811,487.689,99.846,411.982,13.6488,81.330043,1560
11,109,16927.8,0.07645,0.10454,0.93616,44.765,384.794,305.013,15.758,11.9228,86.968595,1560
11,110,14064.1,0.03399,0.05467,1.07267,15.563,479.570,406.988,304.790,11.0683,70.439299,1560
12,111,22464.6,0.04591,0.28020,0.50550,31.943,499.738,16.057,269.622,12.0227,72.727094,1700
12,112,18861.6,0.04152,0.10429,0.80883,28.946,409.295,298.169,98.187,13.7466,71.940873,1700
12,113,15523.4,0.03011,0.05574,0.87141,73.247,498.560,374.165,414.703,6.2120,158.439959,1700
12,114,26014.4,0.03037,0.36575,0.99998,39.371,248.980,413.509,122.805,10.7484,87.324878,1700
12,115,16860.4,0.03660,0.06557,0.98126,30.440,394.512,274.792,284.731,12.8665,58.717748,1700
12,116,9773.4,0.03005,0.08408,0.87957,48.505,455.062,614.337,317.124,7.4144,73.932187,1700
12,117,12894.9,0.03133,0.30744,0.40870,11.526,488.580,394.627,245.634,6.4287,61.233109,1700
12,118,5229.8,0.03222,0.28079,0.43511,37.553,477.763,302.696,350.995,8.5626,73.972012,1700
12,119,18875.7,0.03619,0.24982,0.57107,19.094,495.061,795.032,470.237,14.1134,99.576103,1700
12,120,17555.6,0.03311,0.06105,0.90965,68.373,352.376,718.344,40.119,9.9775,100.765546,1700
13,121,21325.5,0.03751,0.18409,0.20227,9.532,494.604,179.946,221.812,12.7917,62.990378,1820
13,122,17893.1,0.03009,0.22103,0.51287,35.380,367.906,501.901,202.721,11.7337,65.304217,1820
13,123,14475.7,0.08208,0.06693,0.46621,74.882,490.509,301.538,13.787,11.2099,127.721722,1820
13,124,9383.6,0.03038,0.39880,0.51061,17.089,459.254,268.013,73.980,11.0414,93.092205,1820
13,125,14035.0,0.05699,0.23625,0.28704,24.968,339.843,356.483,153.599,11.0449,73.508738,1820
13,126,11745.2,0.03004,0.15005,0.40212,18.750,481.116,143.542,316.660,8.8892,61.849631,1820
13,127,20670.9,0.03959,0.07842,0.89783,23.899,394.835,461.748,318.411,11.2371,65.184082,1820
13,128,23481.6,0.03124,0.39144,0.43876,43.367,333.250,395.545,407.307,9.1311,85.601204,1820
13,129,9676.9,0.03153,0.06066,0.37954,36.734,353.594,445.747,156.696,12.5030,75.724008,1820
13,130,31714.6,0.03791,0.22297,0.62617,11.903,236.676,140.903,311.318,9.7722,81.972593,1820
14,131,13240.3,0.03156,0.05253,0.77840,31.717,499.636,270.333,429.452,9.2724,87.901666,1941
14,132,8820.7,0.03041,0.11887,0.89660,56.991,475.116,82.503,172.196,14.9758,69.787404,1941
14,133,13563.1,0.03063,0.05738,0.22300,34.499,452.120,56.433,438.066,14.0193,74.701165,1941
