coeff,value,loss,elapsed_s
γ₃ gen_attn r3,0.91090837,69.998682,21.1
γ₃ gen_attn r3,0.90359081,70.350902,21.3
γ₃ gen_attn r3,0.90811331,73.074030,20.8
γ₃ gen_attn r3,0.90531825,70.135719,20.8
γ₃ gen_attn r3,0.90704569,73.387972,21.1
γ₃ gen_attn r3,0.90618197,70.029831,24.0
α₀ queueing r2,26458.9803375,67.073531,21.8
α₀ queueing r2,33541.0196625,82.408371,22.4
α₀ queueing r2,22082.03932499,61.420272,22.0
α₀ queueing r2,19376.94101251,59.639668,21.9
α₀ queueing r2,17705.09831248,56.687821,20.8
α₀ queueing r2,16671.84270003,57.370457,20.7
α₀ queueing r2,18343.68540005,59.210803,20.5
α₀ queueing r2,17310.42978759,58.788308,20.4
α₀ queueing r2,17949.01687516,56.852833,20.5
α₀ queueing r2,17554.34835026,57.807850,20.2
α₀ queueing r2,17798.26691294,57.886973,20.4
α₀ queueing r2,17647.51695072,56.644686,20.7
α₀ queueing r2,17611.92971203,58.735763,20.7
α₀ queueing r2,17658.51401226,56.646614,20.9
γ₁ gemm r4,0.1263932,66.907700,21.6
γ₁ gemm r4,0.1736068,74.086342,21.9
γ₁ gemm r4,0.0972136,61.272725,20.9
γ₁ gemm r4,0.07917961,57.417355,20.4
γ₁ gemm r4,0.06803399,57.943021,20.3
γ₁ gemm r4,0.08606798,56.304714,21.3
γ₁ gemm r4,0.09032522,56.414019,20.7
γ₁ gemm r4,0.08343685,58.242861,20.6
γ₁ gemm r4,0.0876941,59.024119,20.7
γ₁ gemm r4,0.08506298,58.077703,20.7
γ₁ gemm r4,0.0866891,57.125156,20.5
γ₁ gemm r4,0.0856841,59.016803,21.0
γ₁ gemm r4,0.08630523,58.778277,20.7
γ₁ gemm r4,0.08599466,58.233091,20.5
γ₂ ctx_attn r4,0.46737621,57.738605,21.0
γ₂ ctx_attn r4,0.63262379,60.770349,20.8
γ₂ ctx_attn r4,0.36524758,57.338846,20.6
γ₂ ctx_attn r4,0.30212862,56.640253,20.8
γ₂ ctx_attn r4,0.26311896,56.678204,21.3
γ₂ ctx_attn r4,0.32623792,57.450008,20.6
γ₂ ctx_attn r4,0.28722826,57.583008,20.6
γ₂ ctx_attn r4,0.31133756,57.503108,20.9
γ₂ ctx_attn r4,0.29643719,57.692824,20.5
γ₂ ctx_attn r4,0.30564612,57.469571,20.7
γ₂ ctx_attn r4,0.29995469,56.668343,21.1
γ₂ ctx_attn r4,0.30347219,57.687881,21.2
γ₂ ctx_attn r4,0.30129825,56.928266,21.5
γ₂ ctx_attn r4,0.30264182,57.265620,20.4
γ₂ ctx_attn r4,0.30181145,57.549670,20.3
γ₂ ctx_attn r4,0.30222664,57.584868,20.7
γ₃ gen_attn r4,0.60557281,59.847274,15.5
γ₃ gen_attn r4,0.79442719,58.618226,18.8
γ₃ gen_attn r4,0.91114562,57.345428,20.7
γ₃ gen_attn r4,0.98328157,58.296256,21.2
γ₃ gen_attn r4,0.86656315,58.018202,20.3
γ₃ gen_attn r4,0.9386991,56.562779,21.1
γ₃ gen_attn r4,0.95572809,57.359636,21.2
γ₃ gen_attn r4,0.92817461,58.106890,20.4
γ₃ gen_attn r4,0.9452036,58.285808,21.1
γ₃ gen_attn r4,0.9346791,57.550624,20.8
γ₃ gen_attn r4,0.9411836,56.707674,21.0
γ₃ gen_attn r4,0.9371636,56.631588,20.8
γ₃ gen_attn r4,0.93964809,58.246973,20.8
γ₃ gen_attn r4,0.93811259,57.100171,20.9
γ₃ gen_attn r4,0.93906158,57.616876,21.0
γ₃ gen_attn r4,0.93858709,56.490617,20.6
