experiment,model,workload,label,status,gt_e2e_ms,blis_e2e_ms,e2e_error,ttft_error,itl_error,alpha0,beta0,beta1,beta2,holdout_model
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,lomo-holdout-codellama-34b,ok,3669.7311178867753,28009.521660972223,6.632581451117755,501.6766595388923,1.791876707212058,55465.86662936034,15790.397247498468,0.0,34.04718482052223,codellama-34b
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,lomo-holdout-llama-2-70b,ok,2071.1203091347243,2743.2013031914894,0.3245011847416764,7.278408472419473,1.49454314493859,25699.768873747904,9263.24338141161,0.0,11.59953427716415,llama-2-70b
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,lomo-holdout-llama-2-70b,ok,5320.605252511034,271586.59395267855,50.044304372045744,2578.241893133681,1.2549705860457747,71461.32716802097,20285.03695875001,0.0,26.562937379415366,llama-2-70b
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,lomo-holdout-llama-2-70b,ok,4605.497935959306,97681.731344,20.209808950582733,1651.152142222654,1.5747733053198947,71461.32716802097,20285.03695875001,0.0,26.562937379415366,llama-2-70b
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,lomo-holdout-llama-2-70b,ok,4561.57099792086,53462.59689541667,10.720215890486992,866.9899595249626,1.640990297409064,71461.32716802097,20285.03695875001,0.0,26.562937379415366,llama-2-70b
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,lomo-holdout-llama-2-70b,ok,4675.230160187726,56979.53246555556,11.187535268481335,887.2246483732016,1.0424745723777833,59703.43331842226,17674.114296711617,0.0,10.772219006154833,llama-2-70b
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,lomo-holdout-llama-2-70b,ok,5038.638279881672,195753.78216089285,37.850532879587846,2770.1053554670757,0.9048802404306042,59703.43331842226,17674.114296711617,0.0,10.772219006154833,llama-2-70b
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,lomo-holdout-llama-2-70b,ok,4684.723604656756,20366.356603055556,3.34739769552483,256.61195130142875,1.0717721810200076,59703.43331842226,17674.114296711617,0.0,10.772219006154833,llama-2-70b
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,lomo-holdout-llama-2-70b,ok,4092.5312723108796,197603.79274392858,47.284003125613275,3737.1972433217898,1.3570073426083398,51853.693581549414,15864.115457060188,0.0,25.87571946795604,llama-2-70b
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,lomo-holdout-llama-2-70b,ok,3722.85792777915,57925.49418466666,14.559415725332766,1166.074311023577,1.5790752202642298,51853.693581549414,15864.115457060188,0.0,25.87571946795604,llama-2-70b
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,lomo-holdout-llama-2-70b,ok,3669.7311178867753,21134.425675972223,4.759121035587627,356.4675221774448,1.65828660465116,51853.693581549414,15864.115457060188,0.0,25.87571946795604,llama-2-70b
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,lomo-holdout-mixtral-8x7b-v0-1,blis_failed,,,,,,,,,,mixtral-8x7b-v0-1
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,lomo-holdout-mixtral-8x7b-v0-1,ok,5320.605252511034,239457.34501714286,44.0056588776497,2271.0893973699644,1.0682763250173652,76436.21783038946,17756.32658179869,0.0,31.03764077761482,mixtral-8x7b-v0-1
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,lomo-holdout-mixtral-8x7b-v0-1,ok,4605.497935959306,80409.69705055555,16.4595012675446,1349.1447555945053,1.3613683363875222,76436.21783038946,17756.32658179869,0.0,31.03764077761482,mixtral-8x7b-v0-1
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,lomo-holdout-mixtral-8x7b-v0-1,ok,4561.57099792086,39378.10405083334,7.63257506433237,618.7556896253602,1.4218189423804528,76436.21783038946,17756.32658179869,0.0,31.03764077761482,mixtral-8x7b-v0-1
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,lomo-holdout-mixtral-8x7b-v0-1,ok,4675.230160187726,43247.02296633333,8.25024469054093,660.4396355807634,0.8752393739239158,62115.74806479231,15919.56620689848,0.0,12.312655294529296,mixtral-8x7b-v0-1
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,lomo-holdout-mixtral-8x7b-v0-1,ok,5038.638279881672,170194.1871288095,32.777814098773995,2404.942796541148,0.7489970499474018,62115.74806479231,15919.56620689848,0.0,12.312655294529296,mixtral-8x7b-v0-1
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,lomo-holdout-mixtral-8x7b-v0-1,ok,4684.723604656756,9619.862636666667,1.053453618289078,85.49472625799469,0.9016674950754707,62115.74806479231,15919.56620689848,0.0,12.312655294529296,mixtral-8x7b-v0-1
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,lomo-holdout-mixtral-8x7b-v0-1,ok,4092.5312723108796,186135.58548291665,44.48177474959495,3518.2625692325923,1.2709775498093825,52790.06732033206,14613.208316239472,0.0,30.21532149142088,mixtral-8x7b-v0-1
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,lomo-holdout-mixtral-8x7b-v0-1,ok,3722.85792777915,51751.81113344444,12.901097527059457,1034.4258456156208,1.4846954628274855,52790.06732033206,14613.208316239472,0.0,30.21532149142088,mixtral-8x7b-v0-1
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,lomo-holdout-mixtral-8x7b-v0-1,ok,3669.7311178867753,16160.896495694444,3.4038366780944815,251.4677732985242,1.560474686583193,52790.06732033206,14613.208316239472,0.0,30.21532149142088,mixtral-8x7b-v0-1
